metric,estimator,estimate,config,null_model_avg,seed,model,percent_change
mae,standard,169.7090602462122,Preprocessor1_Model1,164.5209375,1147,taxaHFE_ML_supplement_users,3.153472637008406
mae,standard,149.58144876488095,Preprocessor1_Model1,164.5244921875,1303,taxaHFE_ML_supplement_users,-9.082564683189682
mae,standard,131.62696361111117,Preprocessor1_Model1,160.769423828125,1389,taxaHFE_ML_supplement_users,-18.126867362645648
mae,standard,167.103284375,Preprocessor1_Model1,160.62961914062498,1475,taxaHFE_ML_supplement_users,4.030181525057071
mae,standard,189.20214285714297,Preprocessor1_Model1,155.339599609375,1512,taxaHFE_ML_supplement_users,21.79904115429709
mae,standard,190.67432447916667,Preprocessor1_Model1,160.682001953125,1535,taxaHFE_ML_supplement_users,18.665639064411952
mae,standard,213.6784922957251,Preprocessor1_Model1,159.33958007812498,1551,taxaHFE_ML_supplement_users,34.10258279264794
mae,standard,148.43284387400794,Preprocessor1_Model1,163.38990234375,1583,taxaHFE_ML_supplement_users,-9.154212258646474
mae,standard,140.88485965029767,Preprocessor1_Model1,162.456884765625,1659,taxaHFE_ML_supplement_users,-13.27861552094212
mae,standard,152.9957685119048,Preprocessor1_Model1,164.389501953125,1707,taxaHFE_ML_supplement_users,-6.930937380946068
mae,standard,172.9552735119048,Preprocessor1_Model1,176.423564453125,1728,taxaHFE_ML_supplement_users,-1.9658887133196505
mae,standard,156.7781210813492,Preprocessor1_Model1,154.970810546875,1794,taxaHFE_ML_supplement_users,1.166226419089134
mae,standard,155.4442816759648,Preprocessor1_Model1,158.431298828125,1912,taxaHFE_ML_supplement_users,-1.8853706144268165
mae,standard,183.8382214955357,Preprocessor1_Model1,160.18904296875,1944,taxaHFE_ML_supplement_users,14.763293474073153
mae,standard,135.77935168154764,Preprocessor1_Model1,170.13693359375,1976,taxaHFE_ML_supplement_users,-20.194076140011312
mae,standard,146.66624502029222,Preprocessor1_Model1,162.848037109375,2002,taxaHFE_ML_supplement_users,-9.936743712922052
mae,standard,206.2910926492604,Preprocessor1_Model1,162.36326171875,2033,taxaHFE_ML_supplement_users,27.055277447310317
mae,standard,154.21644491815476,Preprocessor1_Model1,154.252060546875,2127,taxaHFE_ML_supplement_users,-0.02308924016570879
mae,standard,151.88410838045635,Preprocessor1_Model1,156.38341796875,2138,taxaHFE_ML_supplement_users,-2.877101451506026
mae,standard,147.3651240760281,Preprocessor1_Model1,158.68814453125,2307,taxaHFE_ML_supplement_users,-7.1353915496769105
mae,standard,142.25136288919407,Preprocessor1_Model1,161.635703125,2482,taxaHFE_ML_supplement_users,-11.992610457366068
mae,standard,137.62370224702383,Preprocessor1_Model1,164.3612890625,2515,taxaHFE_ML_supplement_users,-16.267569430724613
mae,standard,130.53353366071428,Preprocessor1_Model1,169.8059765625,2521,taxaHFE_ML_supplement_users,-23.127833128612423
mae,standard,160.00130167410717,Preprocessor1_Model1,167.58873046875,2530,taxaHFE_ML_supplement_users,-4.527409912003382
mae,standard,172.2788799255952,Preprocessor1_Model1,162.4932421875,2784,taxaHFE_ML_supplement_users,6.022181357427538
mae,standard,153.15318180803573,Preprocessor1_Model1,166.84087890625,2789,taxaHFE_ML_supplement_users,-8.204042790919102
mae,standard,207.9146467257916,Preprocessor1_Model1,151.803974609375,2799,taxaHFE_ML_supplement_users,36.962584320207505
mae,standard,150.84160291666666,Preprocessor1_Model1,153.407578125,2940,taxaHFE_ML_supplement_users,-1.672652185567073
mae,standard,123.0738228422619,Preprocessor1_Model1,171.38310546875,2980,taxaHFE_ML_supplement_users,-28.187890804264136
mae,standard,132.8612235119048,Preprocessor1_Model1,167.508359375,3064,taxaHFE_ML_supplement_users,-20.683824969911417
mae,standard,179.35253419642845,Preprocessor1_Model1,158.529189453125,3098,taxaHFE_ML_supplement_users,13.135337924288464
mae,standard,184.19038364583332,Preprocessor1_Model1,168.894755859375,3274,taxaHFE_ML_supplement_users,9.056307111864232
mae,standard,157.3273846354167,Preprocessor1_Model1,168.5446484375,3351,taxaHFE_ML_supplement_users,-6.655366341247494
