Pathway_Subsection	Note	Gene_Name	EC_accession
Tetrapyrrole_precursor_biosynthesis	glycine+succinyl_CoA	hemA	2.3.1.37
Tetrapyrrole_precursor_biosynthesis	glutamate	gltX	6.1.1.17
Tetrapyrrole_precursor_biosynthesis	nondiscriminating	gltX	6.1.1.24
Tetrapyrrole_precursor_biosynthesis	glutamate	hemA	1.2.1.70
Tetrapyrrole_precursor_biosynthesis	glutamate	hemL	5.4.3.8
Tetrapyrrole_precursor_biosynthesis	n/a	hemB	4.2.1.24
Tetrapyrrole_precursor_biosynthesis	n/a	hemC	2.5.1.61
Tetrapyrrole_precursor_biosynthesis	n/a	hemD	4.2.1.75
Tetrapyrrole_precursor_biosynthesis	n/a	cysG/cobA/hemX	2.1.1.107
Anaerobic_corrin_ring_biosynthesis	n/a	cysG/sirC/met8p	1.3.1.76
Anaerobic_corrin_ring_biosynthesis	n/a	cbiK/cbiX	4.99.1.3
Anaerobic/combined_corrin_ring_biosynthesis	n/a	cbiL	2.1.1.151
Anaerobic/combined_corrin_ring_biosynthesis	n/a	cbiH	2.1.1.272
Anaerobic/combined_corrin_ring_biosynthesis	n/a	cbiF	2.1.1.271
Anaerobic/combined_corrin_ring_biosynthesis	n/a	cbiG	3.7.1.12
Anaerobic/combined_corrin_ring_biosynthesis	n/a	cbiD	2.1.1.195
Anaerobic/combined_corrin_ring_biosynthesis	n/a	cbiJ	1.3.1.106
Anaerobic/combined_corrin_ring_biosynthesis	n/a	cbiT	2.1.1.196
Anaerobic/combined_corrin_ring_biosynthesis	n/a	cbiE	2.1.1.289
Anaerobic/combined_corrin_ring_biosynthesis	n/a	cbiC	5.4.99.60
Anaerobic/combined_corrin_ring_biosynthesis	n/a	cbiA	6.3.5.11
Adenosylation/Salvage	n/a	btuR/cobA/cobO/pduO	2.5.1.17
Nucleotide_loop_assembly	n/a	cbiP/cobQ	6.3.5.10
Nucleotide_loop_assembly	n/a	cbiB/cobD	6.3.1.10
Nucleotide_loop_assembly	n/a	cobD	4.1.1.81
Nucleotide_loop_assembly	n/a	cobU/copP	2.7.1.156
Nucleotide_loop_assembly	cobinamide_activation	cobU	2.7.7.62
Nucleotide_loop_assembly	n/a	cobU/cobT	2.4.2.21
Nucleotide_loop_assembly	cobalamin_phosphatase	cobC	3.1.3.73
Nucleotide_loop_assembly	n/a	cobS	2.7.8.26
