Pathway_Subsection	Description	Gene_Name	KO_accession
Anaerobic_lower_ligand_synthesis	not_oxygen_sensitive	BzaC	K25497
Anaerobic_lower_ligand_synthesis	n/a	BzaD	K25498
Anaerobic_lower_ligand_synthesis	n/a	BzaE	K25499
Anaerobic_lower_ligand_synthesis	n/a	BzaF	K22466
Anaerobic_lower_ligand_synthesis	n/a	BzaA_B	K22465
Cbi_transport	Gram-negative/outer_membrane	BtuB	K16092
Cbi_transport	Gram-negative/periplasmic	BtuF	K06858
Cbi_transport	Gram-negative/inner_membrane_ABC_transporter	BtuC	K06073
Cbi_transport	secondary_component_to_BtuC(prokayrotic_type)	BtuD	K06074
Cbi_transport	secondary_component_to_BtuC(prokayrotic_type)	BtuD	K25028
Cbi_transport	cobalt/nickel_transport_system_permease_protein	CbiQ	K02008
Cbi_transport	ECF-type_ABC_transporter	CbrU	K01552
Cbi_transport	ECF-type_ABC_transporter	CbrV	K16785
Cbi_transport	ECF-type_ABC_transporter	CbrT	K16927
Cbi_transport	newly_discovered_Mycobacterial_non-specific_transport_system	bacA	K02471
Cby_assimilation	L-threonine_kinase	pduX	K16651
Salvage	Ethanolamine_utilization_cobalamin_adenosyltransferase	eutT	K04032
Salvage	adenosylcobinamide_hydrolase	cbiZ	K08260
