Pathway_Subsection	Description	Gene_Name	KEGG_ID_accession
alpha-ribazole_salvage	archeal_bifunctional_adenosylcobinamide_hydrolase/alpha-ribazole_phosphatase	CbiS	meuz:KRP56_05970
alpha-ribazole_salvage	n/a	CblS	lmt:LMRG_00589
alpha-ribazole_salvage	n/a	CblS	lmod:LMON_1139
alpha-ribazole_salvage	n/a	CblS	lros:LROSL1_1585
alpha-ribazole_salvage	n/a	CblS	cbj:H04402_00882
alpha-ribazole_salvage	n/a	CblS	ccoh:SAMEA4530647_0625
alpha-ribazole_salvage	n/a	CblS	asac:ATHSA_0890
alpha-ribazole_salvage	n/a	CblT	lmod:LMON_1183
alpha-ribazole_salvage	n/a	CblT	lros:LROSL1_1610
alpha-ribazole_salvage	n/a	CblT	cbj:H04402_01019
Cbi_transport	newly_discovered_transport_system	BtuM	smz:SMD_0705
Cbi_transport	newly_discovered_transport_system	BtuM	rbd:ALSL_2317
Cbi_transport	newly_discovered_transport_system	BtuM	acx:Achr_16170
